........] - ETA: 913s - loss: 0.9313 - acc: 0.7256
 247/2525 [=>............................] - ETA: 847s - loss: 0.9300 - acc: 0.7287
 248/2525 [=>............................] - ETA: 847s - loss: 0.9310 - acc: 0.7286
 249/2525 [=>............................] - ETA: 847s - loss: 0.9320 - acc: 0.7283
 250/2525 [=>............................] - ETA: 846s - loss: 0.9315 - acc: 0.7281
 251/2525 [=>............................] - ETA: 846s - loss: 0.9309 - acc: 0.7286
 252/2525 [=>............................] - ETA: 845s - loss: 0.9331 - acc: 0.7282
 253/2525 [==>...........................] - ETA: 845s - loss: 0.9338 - acc: 0.7280
 254/2525 [==>...........................] - ETA: 844s - loss: 0.9345 - acc: 0.7282
 255/2525 [==>...........................] - ETA: 844s - loss: 0.9352 - acc: 0.7282
 256/2525 [==>...........................] - ETA: 843s - loss: 0.9340 - acc: 0.7286
 257/2525 [==>...........................] - ETA: 843s - loss: 0.9335 - acc: 0.7285
 258/2525 [==>...........................] - ETA: 842s - loss: 0.9331 - acc: 0.7283
 259/2525 [==>...........................] - ETA: 842s - loss: 0.9332 - acc: 0.7282
 260/2525 [==>...........................] - ETA: 842s - loss: 0.9322 - acc: 0.7285
 261/2525 [==>...........................] - ETA: 841s - loss: 0.9345 - acc: 0.7283
 262/2525 [==>...........................] - ETA: 841s - loss: 0.9329 - acc: 0.7289
 263/2525 [==>...........................] - ETA: 840s - loss: 0.9331 - acc: 0.7291
 264/2525 [==>...........................] - ETA: 840s - loss: 0.9332 - acc: 0.7293
 265/2525 [==>...........................] - ETA: 839s - loss: 0.9343 - acc: 0.7291
 266/2525 [==>...........................] - ETA: 839s - loss: 0.9351 - acc: 0.7286
 267/2525 [==>...........................] - ETA: 839s - loss: 0.9346 - acc: 0.7288
 268/2525 [==>...........................] - ETA: 838s - loss: 0.9337 - acc: 0.7290
 269/2525 [==>...........................] - ETA: 838s - loss: 0.9330 - acc: 0.7292
 270/2525 [==>...........................] - ETA: 837s - loss: 0.9337 - acc: 0.7291
 271/2525 [==>...........................] - ETA: 837s - loss: 0.9325 - acc: 0.7295
 272/2525 [==>...........................] - ETA: 836s - loss: 0.9349 - acc: 0.7291
 273/2525 [==>...........................] - ETA: 836s - loss: 0.9348 - acc: 0.7291
 274/2525 [==>...........................] - ETA: 835s - loss: 0.9342 - acc: 0.7292
 275/2525 [==>...........................] - ETA: 835s - loss: 0.9338 - acc: 0.7290
 276/2525 [==>...........................] - ETA: 835s - loss: 0.9363 - acc: 0.7280
 277/2525 [==>...........................] - ETA: 834s - loss: 0.9352 - acc: 0.7285
 278/2525 [==>...........................] - ETA: 834s - loss: 0.9340 - acc: 0.7288
 279/2525 [==>...........................] - ETA: 833s - loss: 0.9336 - acc: 0.7287
 280/2525 [==>...........................] - ETA: 833s - loss: 0.9362 - acc: 0.7283
 281/2525 [==>...........................] - ETA: 832s - loss: 0.9386 - acc: 0.7279
 282/2525 [==>...........................] - ETA: 832s - loss: 0.9399 - acc: 0.7277
 283/2525 [==>...........................] - ETA: 832s - loss: 0.9383 - acc: 0.7282
 284/2525 [==>...........................] - ETA: 831s - loss: 0.9388 - acc: 0.7283
 285/2525 [==>...........................] - ETA: 831s - loss: 0.9376 - acc: 0.7286
 286/2525 [==>...........................] - ETA: 830s - loss: 0.9383 - acc: 0.7284
 287/2525 [==>...........................] - ETA: 830s - loss: 0.9383 - acc: 0.7284
 288/2525 [==>...........................] - ETA: 829s - loss: 0.9399 - acc: 0.7284
 289/2525 [==>...........................] - ETA: 829s - loss: 0.9411 - acc: 0.7280
 290/2525 [==>...........................] - ETA: 829s - loss: 0.9411 - acc: 0.7279
 291/2525 [==>...........................] - ETA: 828s - loss: 0.9409 - acc: 0.7282
 292/2525 [==>...........................] - ETA: 828s - loss: 0.9409 - acc: 0.7284
 293/2525 [==>...........................] - ETA: 828s - loss: 0.9399 - acc: 0.7287
 294/2525 [==>...........................] - ETA: 827s - loss: 0.9394 - acc: 0.7288
 295/2525 [==>...........................] - ETA: 827s - loss: 0.9394 - acc: 0.7289
 296/2525 [==>...........................] - ETA: 826s - loss: 0.9392 - acc: 0.7291
 297/2525 [==>...........................] - ETA: 826s - loss: 0.9391 - acc: 0.7291
 298/2525 [==>...........................] - ETA: 825s - loss: 0.9390 - acc: 0.7291
 299/2525 [==>...........................] - ETA: 825s - loss: 0.9397 - acc: 0.7291
 300/2525 [==>...........................] - ETA: 825s - loss: 0.9403 - acc: 0.7292
 301/2525 [==>...........................] - ETA: 824s - loss: 0.9406 - acc: 0.7290
 302/2525 [==>...........................] - ETA: 824s - loss: 0.9400 - acc: 0.7290
 303/2525 [==>...........................] - ETA: 823s - loss: 0.9393 - acc: 0.7293
 304/2525 [==>...........................] - ETA: 823s - loss: 0.9396 - acc: 0.7291
 305/2525 [==>...........................] - ETA: 822s - loss: 0.9395 - acc: 0.7289
 306/2525 [==>...........................] - ETA: 822s - loss: 0.9405 - acc: 0.7287
 307/2525 [==>...........................] - ETA: 822s - loss: 0.9406 - acc: 0.7288
 308/2525 [==>...........................] - ETA: 821s - loss: 0.9413 - acc: 0.7288
 309/2525 [==>...........................] - ETA: 821s - loss: 0.9424 - acc: 0.7287
 310/2525 [==>...........................] - ETA: 820s - loss: 0.9433 - acc: 0.7285
 311/2525 [==>...........................] - ETA: 820s - loss: 0.9445 - acc: 0.7282
 312/2525 [==>...........................] - ETA: 819s - loss: 0.9452 - acc: 0.7282
 313/2525 [==>...........................] - ETA: 819s - loss: 0.9463 - acc: 0.7277
 314/2525 [==>...........................] - ETA: 819s - loss: 0.9455 - acc: 0.7281
 315/2525 [==>...........................] - ETA: 818s - loss: 0.9446 - acc: 0.7284
 316/2525 [==>...........................] - ETA: 818s - loss: 0.9445 - acc: 0.7283
 317/2525 [==>...........................] - ETA: 817s - loss: 0.9437 - acc: 0.7291
 318/2525 [==>...........................] - ETA: 817s - loss: 0.9446 - acc: 0.7288
 319/2525 [==>...........................] - ETA: 817s - loss: 0.9439 - acc: 0.7287
 320/2525 [==>...........................] - ETA: 816s - loss: 0.9450 - acc: 0.7283
 321/2525 [==>...........................] - ETA: 816s - loss: 0.9451 - acc: 0.7286
 322/2525 [==>...........................] - ETA: 815s - loss: 0.9458 - acc: 0.7285
 323/2525 [==>...........................] - ETA: 815s - loss: 0.9461 - acc: 0.7286
 324/2525 [==>...........................] - ETA: 815s - loss: 0.9464 - acc: 0.7285
 325/2525 [==>...........................] - ETA: 814s - loss: 0.9458 - acc: 0.7287
 326/2525 [==>...........................] - ETA: 814s - loss: 0.9447 - acc: 0.7291
 327/2525 [==>...........................] - ETA: 813s - loss: 0.9457 - acc: 0.7288
 328/2525 [==>...........................] - ETA: 813s - loss: 0.9449 - acc: 0.7291
 329/2525 [==>...........................] - ETA: 812s - loss: 0.9456 - acc: 0.7288
 330/2525 [==>...........................] - ETA: 812s - loss: 0.9452 - acc: 0.7290
 331/2525 [==>...........................] - ETA: 812s - loss: 0.9462 - acc: 0.7289
 332/2525 [==>...........................] - ETA: 811s - loss: 0.9467 - acc: 0.7287
 333/2525 [==>...........................] - ETA: 811s - loss: 0.9463 - acc: 0.7289
 334/2525 [==>...........................] - ETA: 810s - loss: 0.9462 - acc: 0.7286
 335/2525 [==>...........................] - ETA: 810s - loss: 0.9463 - acc: 0.7284
 336/2525 [==>...........................] - ETA: 810s - loss: 0.9466 - acc: 0.7282
 337/2525 [===>..........................] - ETA: 809s - loss: 0.9461 - acc: 0.7286
 338/2525 [===>..........................] - ETA: 809s - loss: 0.9459 - acc: 0.7287
 339/2525 [===>..........................] - ETA: 808s - loss: 0.9454 - acc: 0.7287
 340/2525 [===>..........................] - ETA: 808s - loss: 0.9468 - acc: 0.7288
 341/2525 [===>..........................] - ETA: 807s - loss: 0.9476 - acc: 0.7288
 342/2525 [===>..........................] - ETA: 807s - loss: 0.9486 - acc: 0.7287
 343/2525 [===>..........................] - ETA: 807s - loss: 0.9493 - acc: 0.7283
 344/2525 [===>..........................] - ETA: 806s - loss: 0.9490 - acc: 0.7285
 345/2525 [===>..........................] - ETA: 806s - loss: 0.9488 - acc: 0.7285
 346/2525 [===>..........................] - ETA: 805s - loss: 0.9487 - acc: 0.7285
 347/2525 [===>..........................] - ETA: 805s - loss: 0.9495 - acc: 0.7281
 348/2525 [===>..........................] - ETA: 805s - loss: 0.9484 - acc: 0.7285
 349/2525 [===>..........................] - ETA: 804s - loss: 0.9483 - acc: 0.7288
 350/2525 [===>..........................] - ETA: 804s - loss: 0.9484 - acc: 0.7288
 351/2525 [===>..........................] - ETA: 803s - loss: 0.9488 - acc: 0.7285
 352/2525 [===>..........................] - ETA: 803s - loss: 0.9494 - acc: 0.7284
 353/2525 [===>..........................] - ETA: 803s - loss: 0.9489 - acc: 0.7286
 354/2525 [===>..........................] - ETA: 802s - loss: 0.9495 - acc: 0.7285
 355/2525 [===>..........................] - ETA: 802s - loss: 0.9495 - acc: 0.7287
 356/2525 [===>..........................] - ETA: 802s - loss: 0.9508 - acc: 0.7283
 357/2525 [===>..........................] - ETA: 801s - loss: 0.9504 - acc: 0.7285
 358/2525 [===>..........................] - ETA: 801s - loss: 0.9496 - acc: 0.7286
 359/2525 [===>..........................] - ETA: 801s - loss: 0.9481 - acc: 0.7291
 360/2525 [===>..........................] - ETA: 800s - loss: 0.9489 - acc: 0.7289
 361/2525 [===>..........................] - ETA: 800s - loss: 0.9484 - acc: 0.7291
 362/2525 [===>..........................] - ETA: 799s - loss: 0.9489 - acc: 0.7289
 363/2525 [===>..........................] - ETA: 799s - loss: 0.9486 - acc: 0.7290
 364/2525 [===>..........................] - ETA: 799s - loss: 0.9492 - acc: 0.7289
 365/2525 [===>..........................] - ETA: 798s - loss: 0.9485 - acc: 0.7291
 366/2525 [===>..........................] - ETA: 798s - loss: 0.9485 - acc: 0.7292
 367/2525 [===>..........................] - ETA: 798s - loss: 0.9490 - acc: 0.7292
 368/2525 [===>..........................] - ETA: 797s - loss: 0.9483 - acc: 0.7294
 369/2525 [===>..........................] - ETA: 797s - loss: 0.9497 - acc: 0.7291
 370/2525 [===>..........................] - ETA: 797s - loss: 0.9496 - acc: 0.7290
 371/2525 [===>..........................] - ETA: 796s - loss: 0.9506 - acc: 0.7289
 372/2525 [===>..........................] - ETA: 796s - loss: 0.9507 - acc: 0.7287
 373/2525 [===>..........................] - ETA: 795s - loss: 0.9517 - acc: 0.7286
 374/2525 [===>..........................] - ETA: 795s - loss: 0.9511 - acc: 0.7284
 375/2525 [===>..........................] - ETA: 795s - loss: 0.9513 - acc: 0.7282
 376/2525 [===>..........................] - ETA: 794s - loss: 0.9508 - acc: 0.7285
 377/2525 [===>..........................] - ETA: 794s - loss: 0.9506 - acc: 0.7285
 378/2525 [===>..........................] - ETA: 793s - loss: 0.9498 - acc: 0.7284
 379/2525 [===>..........................] - ETA: 793s - loss: 0.9503 - acc: 0.7281
 380/2525 [===>..........................] - ETA: 793s - loss: 0.9505 - acc: 0.7279
 381/2525 [===>..........................] - ETA: 792s - loss: 0.9502 - acc: 0.7279
 382/2525 [===>..........................] - ETA: 792s - loss: 0.9497 - acc: 0.7280
 383/2525 [===>..........................] - ETA: 791s - loss: 0.9501 - acc: 0.7278
 384/2525 [===>..........................] - ETA: 791s - loss: 0.9495 - acc: 0.7279
 385/2525 [===>..........................] - ETA: 791s - loss: 0.9494 - acc: 0.7277
 386/2525 [===>..........................] - ETA: 790s - loss: 0.9495 - acc: 0.7277
 387/2525 [===>..........................] - ETA: 790s - loss: 0.9483 - acc: 0.7281
 388/2525 [===>..........................] - ETA: 789s - loss: 0.9484 - acc: 0.7281
 389/2525 [===>..........................] - ETA: 789s - loss: 0.9483 - acc: 0.7280
 390/2525 [===>..........................] - ETA: 789s - loss: 0.9489 - acc: 0.7277
 391/2525 [===>..........................] - ETA: 788s - loss: 0.9497 - acc: 0.7275
 392/2525 [===>..........................] - ETA: 788s - loss: 0.9493 - acc: 0.7274
 393/2525 [===>..........................] - ETA: 787s - loss: 0.9492 - acc: 0.7274
 394/2525 [===>..........................] - ETA: 787s - loss: 0.9501 - acc: 0.7268
 395/2525 [===>..........................] - ETA: 787s - loss: 0.9511 - acc: 0.7268
 396/2525 [===>..........................] - ETA: 786s - loss: 0.9524 - acc: 0.7265
 397/2525 [===>..........................] - ETA: 786s - loss: 0.9534 - acc: 0.7262
 398/2525 [===>..........................] - ETA: 785s - loss: 0.9539 - acc: 0.7261
 399/2525 [===>..........................] - ETA: 785s - loss: 0.9533 - acc: 0.7263
 400/2525 [===>..........................] - ETA: 785s - loss: 0.9537 - acc: 0.7264
 401/2525 [===>..........................] - ETA: 784s - loss: 0.9538 - acc: 0.7262
 402/2525 [===>..........................] - ETA: 784s - loss: 0.9546 - acc: 0.7259
 403/2525 [===>..........................] - ETA: 783s - loss: 0.9540 - acc: 0.7259
 404/2525 [===>..........................] - ETA: 783s - loss: 0.9545 - acc: 0.7259
 405/2525 [===>..........................] - ETA: 783s - loss: 0.9544 - acc: 0.7258
 406/2525 [===>..........................] - ETA: 782s - loss: 0.9550 - acc: 0.7258
 407/2525 [===>..........................] - ETA: 782s - loss: 0.9551 - acc: 0.7257
 408/2525 [===>..........................] - ETA: 781s - loss: 0.9558 - acc: 0.7256
 409/2525 [===>..........................] - ETA: 781s - loss: 0.9552 - acc: 0.7259
 410/2525 [===>..........................] - ETA: 781s - loss: 0.9544 - acc: 0.7259
 411/2525 [===>..........................] - ETA: 780s - loss: 0.9545 - acc: 0.7260
 412/2525 [===>..........................] - ETA: 780s - loss: 0.9560 - acc: 0.7257
 413/2525 [===>..........................] - ETA: 779s - loss: 0.9560 - acc: 0.7258
 414/2525 [===>..........................] - ETA: 779s - loss: 0.9581 - acc: 0.7254
 415/2525 [===>..........................] - ETA: 779s - loss: 0.9581 - acc: 0.7253
 416/2525 [===>..........................] - ETA: 778s - loss: 0.9583 - acc: 0.7253
 417/2525 [===>..........................] - ETA: 778s - loss: 0.9579 - acc: 0.7253
 418/2525 [===>..........................] - ETA: 777s - loss: 0.9594 - acc: 0.7247
 419/2525 [===>..........................] - ETA: 777s - loss: 0.9591 - acc: 0.7248
 420/2525 [===>..........................] - ETA: 777s - loss: 0.9597 - acc: 0.7247
 421/2525 [====>.........................] - ETA: 776s - loss: 0.9597 - acc: 0.7248
 422/2525 [====>.........................] - ETA: 776s - loss: 0.9605 - acc: 0.7247
 423/2525 [====>.........................] - ETA: 775s - loss: 0.9603 - acc: 0.7246
 424/2525 [====>.........................] - ETA: 775s - loss: 0.9595 - acc: 0.7248
 425/2525 [====>.........................] - ETA: 775s - loss: 0.9596 - acc: 0.7247
 426/2525 [====>.........................] - ETA: 774s - loss: 0.9590 - acc: 0.7249
 427/2525 [====>.........................] - ETA: 774s - loss: 0.9588 - acc: 0.7249
 428/2525 [====>.........................] - ETA: 774s - loss: 0.9597 - acc: 0.7247
 429/2525 [====>.........................] - ETA: 773s - loss: 0.9588 - acc: 0.7251
 430/2525 [====>.........................] - ETA: 773s - loss: 0.9594 - acc: 0.7247
 431/2525 [====>.........................] - ETA: 772s - loss: 0.9599 - acc: 0.7245
 432/2525 [====>.........................] - ETA: 772s - loss: 0.9589 - acc: 0.7248
 433/2525 [====>.........................] - ETA: 772s - loss: 0.9587 - acc: 0.7248
 434/2525 [====>.........................] - ETA: 771s - loss: 0.9591 - acc: 0.7247
 435/2525 [====>.........................] - ETA: 771s - loss: 0.9592 - acc: 0.7248
 436/2525 [====>.........................] - ETA: 771s - loss: 0.9585 - acc: 0.7249
 437/2525 [====>.........................] - ETA: 770s - loss: 0.9592 - acc: 0.7247
 438/2525 [====>.........................] - ETA: 770s - loss: 0.9592 - acc: 0.7247
 439/2525 [====>.........................] - ETA: 769s - loss: 0.9604 - acc: 0.7242
 440/2525 [====>.........................] - ETA: 769s - loss: 0.9605 - acc: 0.7241
 441/2525 [====>.........................] - ETA: 769s - loss: 0.9601 - acc: 0.7242
 442/2525 [====>.........................] - ETA: 768s - loss: 0.9598 - acc: 0.7245
